id	taxid
GeneID:10322488	981330
GeneID:10322491	981330
GeneID:10322493	981330
GeneID:10322494	981330
GeneID:10322495	981330
GeneID:10322497	981330
GeneID:10322499	981330
GeneID:10322500	981330
GeneID:10322502	981330
GeneID:10322503	981330
GeneID:10322506	981330
GeneID:10322507	981330
GeneID:10322508	981330
GeneID:10322509	981330
GeneID:10322510	981330
GeneID:10322512	981330
GeneID:10322514	981330
GeneID:10322515	981330
GeneID:10322516	981330
GeneID:10322517	981330
GeneID:10322557	1932931
GeneID:10322558	1932931
GeneID:10322568	1932931
GeneID:10322569	1932931
GeneID:10322576	1932931
GeneID:10323083	279006
GeneID:10323245	279006
GeneID:10323413	260149
GeneID:10323556	260149
GeneID:10323562	260149
GeneID:10323726	864178
GeneID:10323731	864178
GeneID:10323748	864178
GeneID:10323751	864178
GeneID:10323758	864178
GeneID:10323762	864178
GeneID:10323770	864178
GeneID:10323838	910473
GeneID:10323848	910473
GeneID:10323849	910473
GeneID:10323850	910473
GeneID:10323851	910473
GeneID:10323852	910473
GeneID:10323854	910473
GeneID:10323858	910473
GeneID:10323860	910473
GeneID:10323862	910473
GeneID:10323863	910473
GeneID:10323864	910473
GeneID:10323866	910473
GeneID:10323867	910473
GeneID:10323869	910473
GeneID:10323871	910473
GeneID:10323873	910473
GeneID:10323874	910473
GeneID:10323875	910473
GeneID:10323876	910473
GeneID:10323877	910473
GeneID:10323878	910473
GeneID:10323881	910473
GeneID:10323882	910473
GeneID:10323889	910474
GeneID:10323895	910474
GeneID:10323899	910474
GeneID:10323900	910474
GeneID:10323901	910474
GeneID:10323903	910474
GeneID:10323904	910474
GeneID:10323905	910474
GeneID:10323906	910474
GeneID:10323907	910474
GeneID:10323909	910474
GeneID:10323910	910474
GeneID:10323912	910474
GeneID:10323917	910474
GeneID:10323920	910474
GeneID:10323921	910474
GeneID:10323922	910474
GeneID:10323923	910474
GeneID:10323928	910474
GeneID:10323929	910474
GeneID:10323935	910474
GeneID:10323950	995049
GeneID:10324108	996651
GeneID:10324186	977927
GeneID:10324213	977927
GeneID:10324238	977927
GeneID:10324351	910475
GeneID:10324352	910475
GeneID:10324354	910475
GeneID:10324358	910475
GeneID:10324361	910475
GeneID:10324363	910475
GeneID:10324365	910475
GeneID:10324366	910475
GeneID:10324367	910475
GeneID:10324368	910475
GeneID:10324369	910475
GeneID:10324373	910475
GeneID:10324375	910475
GeneID:10324376	910475
GeneID:10324381	910475
GeneID:10324382	910475
GeneID:10324383	910475
GeneID:10324384	910475
GeneID:10324385	910475
GeneID:10324387	910475
GeneID:10324389	910475
GeneID:10324392	910475
GeneID:10326665	444860
GeneID:10326666	444860
GeneID:10326824	444860
GeneID:10326834	444860
GeneID:10327011	445700
GeneID:10327012	445700
GeneID:10327115	445700
GeneID:10327174	445683
GeneID:10327242	445683
GeneID:10327249	445683
GeneID:10327264	445683
GeneID:10327354	445683
GeneID:10327356	445683
GeneID:10327431	444859
GeneID:10327531	444859
GeneID:10327579	444859
GeneID:10327606	444859
GeneID:10327611	444859
GeneID:10327664	444862
GeneID:10327704	444862
GeneID:10327724	444862
GeneID:10327886	445696
GeneID:10327893	445696
GeneID:10328144	444878
GeneID:10328191	444878
GeneID:10328237	444878
GeneID:10328298	444878
GeneID:10328305	444878
GeneID:10328314	444878
GeneID:10328330	444878
GeneID:10328539	445684
GeneID:10328548	445684
GeneID:10328549	445684
GeneID:10328550	445684
GeneID:10328706	445686
GeneID:10328722	445686
GeneID:10328790	445686
GeneID:10328925	444861
GeneID:10329088	444861
GeneID:10329151	445685
GeneID:10329159	445685
GeneID:10329276	445685
GeneID:10329284	445685
GeneID:10329347	445685
GeneID:10329353	445685
GeneID:10329354	445685
GeneID:10329563	445688
GeneID:10329587	445688
GeneID:10351179	925986
GeneID:10351299	743813
GeneID:10351309	743813
GeneID:10351386	925984
GeneID:10351396	925984
GeneID:10351408	925984
GeneID:10351421	925984
GeneID:10351438	925984
GeneID:10351459	867696
GeneID:10351501	867696
GeneID:10351511	867696
GeneID:10351512	867696
GeneID:10351596	867696
GeneID:10351620	867696
GeneID:10352027	997821
GeneID:10352029	997821
GeneID:10352032	943908
GeneID:10358591	926543
GeneID:10358595	926543
GeneID:10358613	59241
GeneID:10358617	59241
GeneID:10358618	59241
GeneID:10358638	59241
GeneID:10358648	59241
GeneID:10358650	59241
GeneID:10358653	59241
GeneID:10358656	59241
GeneID:10358665	59241
GeneID:10358667	59241
GeneID:10358729	582345
GeneID:10358835	881953
GeneID:10358837	881953
GeneID:10358856	881953
GeneID:10358904	881953
GeneID:10358911	881953
GeneID:10358968	881953
GeneID:10358971	881953
GeneID:10358979	881953
GeneID:10358981	764561
GeneID:10358998	764561
GeneID:10359025	764561
GeneID:10359069	857312
GeneID:10359168	857312
GeneID:10379919	877240
GeneID:10399471	190063
