Database Id	ResultId Count	ResultTaxonomy Count	Domain	Phylum	Class	Order	Family	Genus	Species
M59131_S000436494	12	12	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanogenium	Unclassified
AY817738_S000456204	2	2	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	Unclassified
AY290717_S001187363	1	1	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Unclassified
EU711413_S001045438	18	18	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus	Unclassified
AF120163_S000429267	11	11	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanomethylovorans	Unclassified
FJ224366_S001189022	2	2	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosalsum	Unclassified
AF432127_S000394076	35	211	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Unclassified
AJ012094_S000432905	6	211	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Unclassified
AJ012095_S000432906	7	211	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Unclassified
AJ012742_S000432910	89	211	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Unclassified
AJ238648_S000433009	7	211	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Unclassified
M59137_S000436500	67	211	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Unclassified
AE009439_S001332504	372	372	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Unclassified
AB019239_S000053841	1	5	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	Unclassified
AY134472_S000397167	4	5	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	Unclassified
AE009950_S001332506	52	892	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Unclassified
AY099168_S000395989	109	892	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Unclassified
AY099169_S000395990	731	892	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Unclassified
AB107767_S000385940	7	105	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Unclassified
AB107768_S000385941	10	105	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Unclassified
AJ310754_S000433407	44	105	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Unclassified
AY099177_S000395998	6	105	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Unclassified
AY099178_S000395999	4	105	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Unclassified
U76534_S000438438	1	105	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Unclassified
Y08384_S000414796	33	105	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Unclassified
AY907888_S000490129	42	42	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Unclassified
AE017261_S000498286	92	95	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Unclassified
X84901_S000414758	3	95	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Unclassified
AJ299215_S000433278	19	264	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Unclassified
M38637_S000436282	245	264	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Unclassified
AB269873_S000804297	130	130	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmatales_incertae_sedis	Thermogymnomonas	Unclassified
AY862079_S000488675	1	6	Archaea	Korarchaeota	Korarchaeota_class_incertae_sedis	Korarchaeota_order_incertae_sedis	Korarchaeota_family_incertae_sedis	Candidatus_Korarchaeum	Unclassified
CP000968_S001014502	4	6	Archaea	Korarchaeota	Korarchaeota_class_incertae_sedis	Korarchaeota_order_incertae_sedis	Korarchaeota_family_incertae_sedis	Candidatus_Korarchaeum	Unclassified
DQ465908_S000703699	1	6	Archaea	Korarchaeota	Korarchaeota_class_incertae_sedis	Korarchaeota_order_incertae_sedis	Korarchaeota_family_incertae_sedis	Candidatus_Korarchaeum	Unclassified
AJ318041_S000433441	541	4566	Archaea	Nanoarchaeota	Nanoarchaeota_class_incertae_sedis	Nanoarchaeota_order_incertae_sedis	Nanoarchaeota_family_incertae_sedis	Nanoarchaeum	Unclassified
AJ458436_S000433794	3	4566	Archaea	Nanoarchaeota	Nanoarchaeota_class_incertae_sedis	Nanoarchaeota_order_incertae_sedis	Nanoarchaeota_family_incertae_sedis	Nanoarchaeum	Unclassified
AJ458437_S000433795	4	4566	Archaea	Nanoarchaeota	Nanoarchaeota_class_incertae_sedis	Nanoarchaeota_order_incertae_sedis	Nanoarchaeota_family_incertae_sedis	Nanoarchaeum	Unclassified
