#Sequence_Id	Database_OTU	FLAG	MAPQ	Classification
92|SRR606249.33407824_HWI-ST829:109:D073EACXX:2:2106:13620:103830_length=101	95847	0	1	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus; Unclassified; otu_95847
93|SRR606249.704000_HWI-ST829:109:D073EACXX:2:1101:6859:154095_length=101	3061927	16	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; Unclassified; otu_3061927
88|SRR606249.38367530_HWI-ST829:109:D073EACXX:2:2202:15659:120604_length=101	3950373	16	25	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Unclassified; otu_3950373
28|SRR606249.43977575_HWI-ST829:109:D073EACXX:2:2207:16236:172493_length=101	16103	16	17	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Caldicellulosiruptoraceae; Caldicellulosiruptor; saccharolyticus; otu_16103
96|SRR606249.11337579_HWI-ST829:109:D073EACXX:2:1202:3916:181706_length=101	1141770	0	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; Unclassified; otu_1141770
94|SRR606249.11132379_HWI-ST829:109:D073EACXX:2:1202:6814:136684_length=101	815820	0	1	Bacteria; Acidobacteria; PAUC37f; Unclassified; otu_815820
98|SRR606249.14334843_HWI-ST829:109:D073EACXX:2:1205:5052:180919_length=101	811453	0	1	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; Unclassified; otu_811453
100|SRR606249.35687463_HWI-ST829:109:D073EACXX:2:2108:3968:29127_length=101	108977	16	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; Unclassified; otu_108977
101|SRR606249.51417036_HWI-ST829:109:D073EACXX:2:2306:16115:137497_length=101	637199	0	1	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_637199
89|SRR606249.21304628_HWI-ST829:109:D073EACXX:2:1304:13944:9976_length=101	2130193	16	11	Bacteria; Thermi; Deinococci; Thermales; Thermaceae; Thermus; Unclassified; otu_2130193
95|SRR606249.33651153_HWI-ST829:109:D073EACXX:2:2106:18891:140648_length=101	1003326	16	11	Bacteria; Acidobacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Acidobacterium; capsulatum; otu_1003326
91|SRR606249.6265222_HWI-ST829:109:D073EACXX:2:1106:4810:145622_length=101	4296629	0	1	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Unclassified; otu_4296629
105|SRR606249.19240443_HWI-ST829:109:D073EACXX:2:1301:15396:179560_length=101	16103	16	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Caldicellulosiruptoraceae; Caldicellulosiruptor; saccharolyticus; otu_16103
34|SRR606249.40509632_HWI-ST829:109:D073EACXX:2:2204:8051:187149_length=101	3950373	16	14	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Unclassified; otu_3950373
99|SRR606249.15485007_HWI-ST829:109:D073EACXX:2:1206:12383:171333_length=101	128127	0	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Moorella; Unclassified; otu_128127
104|SRR606249.42905646_HWI-ST829:109:D073EACXX:2:2207:1249:8199_length=101	541977	0	1	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Idiomarinaceae; Pseudidiomarina; homiensis; otu_541977
103|SRR606249.34042611_HWI-ST829:109:D073EACXX:2:2106:16687:198617_length=101	3322729	0	1	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Idiomarinaceae; Idiomarina; Unclassified; otu_3322729
109|SRR606249.4116630_HWI-ST829:109:D073EACXX:2:1105:13112:10678_length=101	244070	0	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermacetogenium; Unclassified; otu_244070
102|SRR606249.25445210_HWI-ST829:109:D073EACXX:2:1307:16648:108346_length=101	128159	16	14	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Unclassified; otu_128159
111|SRR606249.7283617_HWI-ST829:109:D073EACXX:2:1107:9163:90628_length=101	168397	16	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Caldicellulosiruptoraceae; Caldicellulosiruptor; saccharolyticus; otu_168397
112|SRR606249.7608355_HWI-ST829:109:D073EACXX:2:1107:3850:134555_length=101	168397	16	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Caldicellulosiruptoraceae; Caldicellulosiruptor; saccharolyticus; otu_168397
113|SRR606249.16118321_HWI-ST829:109:D073EACXX:2:1207:11528:71101_length=101	168397	16	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Caldicellulosiruptoraceae; Caldicellulosiruptor; saccharolyticus; otu_168397
114|SRR606249.20570323_HWI-ST829:109:D073EACXX:2:1303:2585:62437_length=101	95847	0	1	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus; Unclassified; otu_95847
